symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,pnl_pips,exit_reason,partial_taken,htf_bias
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 06:00:00+00:00,2024-11-08 06:05:00+00:00,1.29648,1.29618,1.30006494,1.29618,2.9999999999996696,TP_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 06:30:00+00:00,2024-11-08 07:05:00+00:00,1.29618,1.2968199999999999,1.2968199999999999,1.29596,-6.399999999997519,SL_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 07:05:00+00:00,2024-11-08 07:10:00+00:00,1.29683,1.2966650000000002,1.30006494,1.2966650000000002,1.6499999999974868,TP_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 07:35:00+00:00,2024-11-08 08:15:00+00:00,1.29655,1.2963850000000003,1.30006494,1.2963850000000003,1.6499999999974868,TP_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 08:15:00+00:00,2024-11-08 08:20:00+00:00,1.29663,1.2964650000000002,1.30006494,1.2964650000000002,1.6499999999974868,TP_HIT,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-08 08:45:00+00:00,2024-11-08 08:50:00+00:00,1.29673,1.2965650000000002,1.30006494,1.2965650000000002,1.6499999999974868,TP_HIT,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_CLOSE,2024-11-08 16:45:00+00:00,2024-11-08 18:40:00+00:00,1.29359,1.29174,1.29730944,1.2903950000000002,18.499999999999073,GIVEBACK_GUARD,False,SELL
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_OPEN,2024-11-11 06:15:00+00:00,2024-11-11 06:55:00+00:00,1.29097,1.2910599999999999,1.28863756,1.2910599999999999,0.8999999999992347,TP_HIT,False,SELL
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_OPEN,2024-11-11 07:00:00+00:00,2024-11-11 07:05:00+00:00,1.29129,1.29138,1.28863756,1.29138,0.8999999999992347,TP_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-11 14:45:00+00:00,2024-11-11 15:00:00+00:00,1.2884,1.28831,1.2891299999999999,1.287125,0.8999999999992347,GIVEBACK_GUARD,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-11 15:15:00+00:00,2024-11-11 15:35:00+00:00,1.28662,1.2857349999999999,1.2914778,1.2857349999999999,8.850000000002467,TP_HIT,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-11 15:45:00+00:00,2024-11-11 17:30:00+00:00,1.28656,1.285675,1.2914778,1.285675,8.850000000000247,TP_HIT,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-12 07:45:00+00:00,2024-11-12 09:25:00+00:00,1.2832,1.28086,1.2871692,1.2791199999999998,23.399999999997867,GIVEBACK_GUARD,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-13 07:45:00+00:00,2024-11-13 08:10:00+00:00,1.27422,1.273335,1.2772093199999999,1.273335,8.849999999998026,TP_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-13 08:15:00+00:00,2024-11-13 09:15:00+00:00,1.27387,1.2729850000000003,1.2772093199999999,1.2729850000000003,8.849999999998026,TP_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-14 06:00:00+00:00,2024-11-14 07:20:00+00:00,1.26807,1.26759,1.267805,1.2658800000000001,5.09999999999966,GIVEBACK_GUARD,True,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-14 07:20:00+00:00,2024-11-14 11:15:00+00:00,1.26802,1.2664,1.27176846,1.26574,16.199999999999548,GIVEBACK_GUARD,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-14 15:00:00+00:00,2024-11-14 18:20:00+00:00,1.26688,1.27186866,1.27186866,1.2594250000000002,-49.88659999999978,SL_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-15 13:30:00+00:00,2024-11-15 13:35:00+00:00,1.26835,1.26911,1.26911,1.26772,-7.599999999998719,SL_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-15 14:15:00+00:00,2024-11-15 15:30:00+00:00,1.26757,1.26634,1.26638259,1.26634,19.168919999998923,TP_HIT,True,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-18 06:30:00+00:00,2024-11-18 06:50:00+00:00,1.2627,1.26322,1.26322,1.2615249999999998,-5.20000000000076,SL_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-18 07:00:00+00:00,2024-11-18 11:05:00+00:00,1.26268,1.2613149999999997,1.2664278,1.2613149999999997,13.650000000002827,TP_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-18 13:45:00+00:00,2024-11-18 18:45:00+00:00,1.26171,1.26543582,1.26543582,1.259865,-37.258199999998794,SL_HIT,False,SELL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-20 06:45:00+00:00,2024-11-20 08:05:00+00:00,1.26859,1.267975,1.2717885,1.267975,6.150000000000322,TP_HIT,False,NEUTRAL
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-20 08:05:00+00:00,2024-11-20 08:25:00+00:00,1.26792,1.26863,1.26863,1.267395,-7.099999999999884,SL_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,LONDON_OPEN,2024-11-20 08:35:00+00:00,2024-11-20 09:00:00+00:00,1.26897,1.268355,1.2714378,1.268355,6.150000000000322,TP_HIT,False,BUY
GBPUSD,LH_LL_CONTINUATION,SELL,NY_OPEN,2024-11-20 15:30:00+00:00,2024-11-20 16:20:00+00:00,1.26681,1.26456,1.26976446,1.26456,22.500000000000853,TP_HIT,False,BUY
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_CLOSE,2024-11-20 16:45:00+00:00,2024-11-20 16:50:00+00:00,1.2641,1.2644,1.26433616,1.2644,4.033920000000357,TP_HIT,True,NEUTRAL
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_OPEN,2024-11-21 06:00:00+00:00,2024-11-21 11:20:00+00:00,1.26557,1.26253986,1.26253986,1.2664549999999999,-30.301400000001255,SL_HIT,False,NEUTRAL
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_CLOSE,2024-11-21 16:15:00+00:00,2024-11-21 17:05:00+00:00,1.26341,1.2642799999999998,1.26036422,1.2642799999999998,8.699999999999264,TP_HIT,False,SELL
GBPUSD,HH_HL_CONTINUATION,BUY,LONDON_OPEN,2024-11-25 06:00:00+00:00,2024-11-25 06:40:00+00:00,1.25921,1.2595049999999999,1.25842,1.2595049999999999,2.949999999999342,TP_HIT,False,SELL
