symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,pnl_pips,exit_reason,partial_taken,htf_bias
USDJPY,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2024-11-12 16:30:00+00:00,2024-11-12 16:45:00+00:00,154.418,154.381,154.3705,153.44229250000004,7.180000000000177,GIVEBACK_GUARD,True,NEUTRAL
USDJPY,CHOCH,SELL,NY_OPEN,2024-11-13 14:00:00+00:00,2024-11-13 15:40:00+00:00,154.877,154.561,155.334048,153.73438000000004,31.60000000000025,GIVEBACK_GUARD,False,BUY
USDJPY,CHOCH,BUY,LONDON_CLOSE,2024-11-13 17:00:00+00:00,2024-11-13 20:10:00+00:00,154.958,155.434,154.02134,157.29964999999999,47.59999999999991,GIVEBACK_GUARD,False,BUY
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2024-11-14 15:30:00+00:00,2024-11-14 16:35:00+00:00,156.087,155.600244,155.600244,157.30388999999997,-48.67559999999855,SL_HIT,False,BUY
USDJPY,CHOCH,SELL,LONDON_OPEN,2024-11-15 06:30:00+00:00,2024-11-15 07:40:00+00:00,156.337,156.431,156.431,154.51382,-9.400000000002251,SL_HIT,False,BUY
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2024-11-15 15:30:00+00:00,2024-11-15 16:05:00+00:00,155.6,155.129,155.129,156.31339749999995,-47.100000000000364,SL_HIT,False,BUY
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-11-15 16:05:00+00:00,2024-11-15 16:40:00+00:00,155.341,155.63,154.95489,156.30627500000003,28.899999999998727,GIVEBACK_GUARD,False,NEUTRAL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2024-11-15 16:45:00+00:00,2024-11-15 17:10:00+00:00,155.539,155.376,155.91776199999998,154.592095,16.29999999999825,GIVEBACK_GUARD,False,NEUTRAL
USDJPY,CHOCH,SELL,NY_OPEN,2024-11-20 15:45:00+00:00,2024-11-20 17:20:00+00:00,155.721,155.259,155.48762399999998,154.55411999999995,46.48512000000153,GIVEBACK_GUARD,True,BUY
USDJPY,CHOCH,BUY,LONDON_CLOSE,2024-11-27 17:00:00+00:00,2024-11-27 17:15:00+00:00,151.534,151.703,151.302,153.53446999999997,16.900000000001114,GIVEBACK_GUARD,False,SELL
