symbol,setup_type,direction,kill_zone,entry_time,exit_time,pnl_pips,exit_reason
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-08 16:15:00+00:00,2024-11-11 16:50:00+00:00,134.98199999999903,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-13 13:30:00+00:00,2024-11-13 15:30:00+00:00,-37.857800000000715,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2024-11-13 15:30:00+00:00,2024-11-14 04:50:00+00:00,82.63275000000014,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-15 15:30:00+00:00,2024-11-18 21:00:00+00:00,-37.857800000000715,SL_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2024-11-19 06:45:00+00:00,2024-11-20 18:10:00+00:00,76.47750000000063,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2024-11-21 16:45:00+00:00,2024-11-21 18:15:00+00:00,-41.72659999999828,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-11-22 17:00:00+00:00,2024-11-25 00:45:00+00:00,73.68475000000485,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-25 14:15:00+00:00,2024-11-25 15:25:00+00:00,-42.392399999999775,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-11-26 06:45:00+00:00,2024-12-18 21:35:00+00:00,-75.44800000000018,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2024-12-20 08:00:00+00:00,2024-12-20 09:10:00+00:00,-30.068899999999843,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-24 13:30:00+00:00,2024-12-31 17:30:00+00:00,-28.776000000001467,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2025-01-03 17:00:00+00:00,2025-01-06 04:10:00+00:00,-27.00479999999894,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-01-06 15:30:00+00:00,2025-01-08 10:50:00+00:00,102.78750000000113,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-01-14 13:45:00+00:00,2025-01-14 17:55:00+00:00,-41.44779999999848,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-01-15 15:30:00+00:00,2025-01-15 18:10:00+00:00,-48.39999999999955,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-01-16 15:30:00+00:00,2025-01-20 15:30:00+00:00,76.44849999999703,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-01-23 06:15:00+00:00,2025-01-23 18:10:00+00:00,-35.69160000000071,SL_HIT
EURUSD,CHOCH,SELL,LONDON_CLOSE,2025-01-24 16:15:00+00:00,2025-02-03 00:00:00+00:00,152.07049999999666,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-02-06 15:30:00+00:00,2025-02-07 17:50:00+00:00,-28.703199999999818,SL_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-02-10 14:00:00+00:00,2025-02-11 21:35:00+00:00,-47.37119999999928,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-02-13 15:30:00+00:00,2025-02-14 10:40:00+00:00,88.78625000000584,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-02-19 13:30:00+00:00,2025-02-20 19:10:00+00:00,-59.42080000000072,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2025-02-21 17:00:00+00:00,2025-02-24 02:25:00+00:00,-29.28519999999768,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-02-25 06:00:00+00:00,2025-02-27 15:50:00+00:00,-36.31760000000206,SL_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-02-27 15:50:00+00:00,2025-03-04 10:20:00+00:00,-81.46620000000215,SL_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2025-03-06 06:00:00+00:00,2025-03-06 15:15:00+00:00,-53.838399999999176,SL_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-03-07 14:45:00+00:00,2025-03-11 09:40:00+00:00,-38.54079999999982,SL_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-03-12 15:30:00+00:00,2025-03-18 10:15:00+00:00,-68.06119999999804,SL_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2025-03-20 06:45:00+00:00,2025-03-21 17:50:00+00:00,89.83199999999414,TP_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2025-03-24 06:00:00+00:00,2025-04-02 18:05:00+00:00,-42.178199999998164,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2025-04-04 08:30:00+00:00,2025-04-04 11:00:00+00:00,97.96224999999436,TP_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-04-04 15:30:00+00:00,2025-04-10 15:20:00+00:00,-71.5884,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-04-17 16:00:00+00:00,2025-04-21 03:05:00+00:00,105.92249999999969,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-04-22 06:00:00+00:00,2025-04-22 16:05:00+00:00,-75.66220000000179,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-04-29 15:15:00+00:00,2025-04-30 04:55:00+00:00,-27.669100000000668,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-04-30 15:45:00+00:00,2025-05-01 04:45:00+00:00,65.7197499999973,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2025-05-01 13:30:00+00:00,2025-05-08 18:40:00+00:00,-62.9729999999995,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-05-09 08:30:00+00:00,2025-05-12 00:00:00+00:00,-8.300000000001084,SL_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2025-05-13 13:45:00+00:00,2025-05-13 16:25:00+00:00,-41.94699999999995,SL_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2025-05-14 09:00:00+00:00,2025-05-14 11:00:00+00:00,-37.29920000000053,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-05-15 15:30:00+00:00,2025-05-16 18:20:00+00:00,57.53149999999651,TP_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-05-20 06:00:00+00:00,2025-05-21 13:20:00+00:00,114.83550000000342,TP_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2025-05-23 08:30:00+00:00,2025-05-23 10:20:00+00:00,-23.62039999999732,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-05-23 14:40:00+00:00,2025-05-26 01:10:00+00:00,-44.299999999999336,SL_HIT
