symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,pnl_pips,exit_reason,partial_taken,htf_bias
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-08 16:15:00+00:00,2024-11-08 18:25:00+00:00,1.0764,1.07283,1.08179928,1.0629018000000001,35.70000000000073,GIVEBACK_GUARD,False,SELL
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-13 13:30:00+00:00,2024-11-13 15:30:00+00:00,1.06123,1.06501578,1.06501578,1.0517655499999998,-37.857800000000715,SL_HIT,False,SELL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2024-11-13 15:30:00+00:00,2024-11-13 16:35:00+00:00,1.06307,1.06085,1.06637531,1.054806725,22.199999999998887,GIVEBACK_GUARD,False,SELL
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-13 16:35:00+00:00,2024-11-13 17:10:00+00:00,1.06144,1.05661,1.06744062,1.04643845,48.299999999998896,GIVEBACK_GUARD,False,SELL
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-15 15:30:00+00:00,2024-11-15 16:20:00+00:00,1.05622,1.05465,1.06000578,1.0467555499999999,15.699999999998493,GIVEBACK_GUARD,False,SELL
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-15 16:20:00+00:00,2024-11-21 18:00:00+00:00,1.05443,1.05103,1.0613184,1.0372089999999998,34.000000000000696,GIVEBACK_GUARD,False,SELL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-11-22 17:00:00+00:00,2024-11-22 17:20:00+00:00,1.04071,1.04144,1.03909,1.0480784750000005,7.299999999998974,GIVEBACK_GUARD,False,SELL
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-25 14:15:00+00:00,2024-11-25 15:25:00+00:00,1.04748,1.05171924,1.05171924,1.0368819,-42.392399999999775,SL_HIT,False,NEUTRAL
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-11-26 06:45:00+00:00,2024-11-26 12:50:00+00:00,1.04786,1.05168,1.0403152,1.066722,38.19999999999934,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-26 16:45:00+00:00,2024-11-26 18:00:00+00:00,1.05021,1.04809,1.0540839599999998,1.0405251000000009,21.200000000001218,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,SELL,LONDON_OPEN,2024-11-27 06:00:00+00:00,2024-11-27 10:20:00+00:00,1.0482,1.0516491,1.0516491,1.0395772500000002,-34.490999999998714,SL_HIT,False,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2024-11-29 14:45:00+00:00,2024-11-29 21:40:00+00:00,1.05632,1.05776,1.0536453,1.06300675,14.400000000001079,GIVEBACK_GUARD,False,BUY
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2024-12-02 09:00:00+00:00,2024-12-02 10:05:00+00:00,1.05163,1.05065,1.05467362,1.0440209500000002,9.799999999999809,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-12-03 09:00:00+00:00,2024-12-03 10:25:00+00:00,1.04941,1.05135,1.04586408,1.0582747999999995,19.400000000000528,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-12-04 16:15:00+00:00,2024-12-04 17:30:00+00:00,1.04891,1.05251,1.050073815,1.0547290749999998,28.365779999999674,GIVEBACK_GUARD,True,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2024-12-06 16:00:00+00:00,2024-12-06 17:10:00+00:00,1.05814,1.05563331,1.05563331,1.0644067250000004,-25.066900000001446,SL_HIT,False,NEUTRAL
EURUSD,CHOCH,SELL,LONDON_OPEN,2024-12-11 07:15:00+00:00,2024-12-11 08:10:00+00:00,1.05221,1.05266,1.05266,1.04240085,-4.499999999998394,SL_HIT,False,SELL
EURUSD,CHOCH,SELL,LONDON_OPEN,2024-12-11 08:10:00+00:00,2024-12-11 10:00:00+00:00,1.05264,1.04968,1.05099117,1.04439585,31.625960000000838,GIVEBACK_GUARD,True,SELL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2024-12-12 15:30:00+00:00,2024-12-12 17:05:00+00:00,1.04938,1.05018,1.0506489449999998,1.0557247249999997,18.427339999999237,GIVEBACK_GUARD,True,SELL
EURUSD,CHOCH,SELL,NY_OPEN,2024-12-16 13:30:00+00:00,2024-12-18 21:15:00+00:00,1.04855,1.04211,1.04558763,1.03373815,61.308439999999905,GIVEBACK_GUARD,True,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2024-12-20 08:00:00+00:00,2024-12-20 09:10:00+00:00,1.03492,1.03792689,1.03792689,1.027402775,-30.068899999999843,SL_HIT,False,SELL
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-24 13:30:00+00:00,2024-12-26 17:50:00+00:00,1.0396,1.04086,1.0367224,1.0467940000000004,12.599999999998168,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-30 14:45:00+00:00,2024-12-30 15:55:00+00:00,1.04485,1.03874834,1.03874834,1.0601041500000004,-61.0166000000012,SL_HIT,False,NEUTRAL
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-12-30 16:45:00+00:00,2024-12-31 17:35:00+00:00,1.04043,1.03705,1.0478414999999999,1.0219012500000002,33.799999999999386,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2025-01-03 17:00:00+00:00,2025-01-03 17:30:00+00:00,1.02881,1.02815,1.03151048,1.0220588000000004,6.6000000000010495,GIVEBACK_GUARD,False,SELL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-01-06 15:30:00+00:00,2025-01-06 15:45:00+00:00,1.04214,1.04098,1.0438,1.03186125,11.600000000000499,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,SELL,LONDON_CLOSE,2025-01-06 17:00:00+00:00,2025-01-07 22:45:00+00:00,1.03848,1.03453,1.04566716,1.0205121000000001,39.5000000000012,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,SELL,NY_OPEN,2025-01-14 13:45:00+00:00,2025-01-14 17:55:00+00:00,1.0253,1.02944478,1.02944478,1.0149380500000005,-41.44779999999848,SL_HIT,False,SELL
EURUSD,CHOCH,BUY,NY_OPEN,2025-01-15 15:30:00+00:00,2025-01-15 18:10:00+00:00,1.03393,1.02909,1.02909,1.0468462,-48.39999999999955,SL_HIT,False,NEUTRAL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-01-16 15:30:00+00:00,2025-01-16 17:25:00+00:00,1.02737,1.02973,1.02855,1.0350148499999996,19.819999999999283,GIVEBACK_GUARD,True,BUY
EURUSD,CHOCH,SELL,LONDON_OPEN,2025-01-17 06:30:00+00:00,2025-01-17 16:25:00+00:00,1.02921,1.02781,1.0329117,1.0199557499999996,14.000000000000679,GIVEBACK_GUARD,False,BUY
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-01-17 17:00:00+00:00,2025-01-20 15:35:00+00:00,1.03229,1.03697,1.02435718,1.05212205,46.800000000000175,GIVEBACK_GUARD,False,NEUTRAL
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-01-23 06:15:00+00:00,2025-01-23 18:10:00+00:00,1.04107,1.0375008399999999,1.0375008399999999,1.0499929000000001,-35.69160000000071,SL_HIT,False,BUY
EURUSD,CHOCH,SELL,LONDON_CLOSE,2025-01-24 16:15:00+00:00,2025-01-28 01:35:00+00:00,1.04743,1.04344,1.05351282,1.0322229500000004,39.9000000000016,GIVEBACK_GUARD,False,BUY
EURUSD,CHOCH,BUY,LONDON_CLOSE,2025-01-30 16:45:00+00:00,2025-01-31 11:00:00+00:00,1.04272,1.03685214,1.03685214,1.0573896500000006,-58.67860000000169,SL_HIT,False,SELL
EURUSD,CHOCH,BUY,NY_OPEN,2025-02-06 15:30:00+00:00,2025-02-06 18:25:00+00:00,1.03596,1.03732,1.03308968,1.0431358,13.600000000000279,GIVEBACK_GUARD,False,BUY
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-02-07 15:30:00+00:00,2025-02-07 18:05:00+00:00,1.03689,1.03416,1.0422111699999999,1.0235870750000007,27.300000000001212,GIVEBACK_GUARD,False,BUY
EURUSD,CHOCH,SELL,NY_OPEN,2025-02-10 14:00:00+00:00,2025-02-11 21:35:00+00:00,1.03089,1.03562712,1.03562712,1.0190472000000002,-47.37119999999928,SL_HIT,False,SELL
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2025-02-13 15:30:00+00:00,2025-02-13 17:20:00+00:00,1.03953,1.04253,1.04072,1.0484086250000006,26.27999999999986,GIVEBACK_GUARD,True,BUY
EURUSD,CHOCH,BUY,LONDON_OPEN,2025-02-14 09:00:00+00:00,2025-02-14 15:50:00+00:00,1.04694,1.04909,1.04254074,1.05793815,21.500000000000963,GIVEBACK_GUARD,False,BUY
