symbol,direction,setup_type,kill_zone,exit_reason,hour_utc,day_of_week,week_of_month,month,is_monday,is_friday,is_gbpusd_sell,is_usdjpy_buy,is_eurusd,direction_aligned,outcome_binary,outcome_pips
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,1,1,3,0,0,0,0,1,1,1,22.699999999999942
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,3,1,3,0,0,0,0,1,1,0,-53.838399999999176
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,4,1,3,0,1,0,0,1,1,1,18.100000000000893
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,0,2,3,1,0,0,0,1,1,1,4.459999999999464
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,0,2,3,1,0,0,0,1,1,1,44.8000000000004
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,2,2,3,0,0,0,0,1,1,1,28.40000000000176
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,GIVEBACK_GUARD,9,4,2,3,0,1,0,0,1,1,1,12.099999999999334
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,6,0,3,3,1,0,0,0,1,1,0,-26.39299999999789
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,1,3,3,0,0,0,0,1,1,1,7.079999999999309
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,3,3,3,0,0,0,0,1,1,1,34.079679999999165
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,0,4,3,1,0,0,0,1,1,1,18.700000000000383
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,1,4,3,0,0,0,0,1,1,1,19.700000000000276
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,1,4,3,0,0,0,0,1,1,1,6.299999999999084
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,1,4,3,0,0,0,0,1,1,1,16.40000000000086
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,4,4,3,0,1,0,0,1,1,1,22.699999999999942
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,4,4,3,0,1,0,0,1,1,1,38.3
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,4,1,4,0,1,0,0,1,1,1,28.200000000000447
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,1,2,4,0,0,0,0,1,1,0,-65.42019999999926
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,8,2,2,4,0,0,0,0,1,1,0,-34.567499999997864
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,3,3,4,0,0,0,0,1,1,1,22.699999999999942
EURUSD,BUY,CHOCH,LONDON_OPEN,SL_HIT,6,1,4,4,0,0,0,0,1,1,0,-75.66220000000179
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,1,5,4,0,0,0,0,1,1,1,12.999999999998568
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,15,1,5,4,0,0,0,0,1,1,0,-60.54400000000015
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,3,1,5,0,0,0,0,1,1,1,39.70000000000029
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,3,2,5,0,0,0,0,1,1,1,47.40000000000188
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,4,2,5,0,1,0,0,1,1,1,3.8000000000004697
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,4,2,5,0,1,0,0,1,1,1,45.999999999999375
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,9,2,2,5,0,0,0,0,1,1,0,-37.29920000000053
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,3,5,0,0,0,0,1,1,1,2.199999999998869
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,3,3,5,0,0,0,0,1,1,0,-63.95659999999914
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,1,3,5,0,0,0,0,1,1,1,26.299999999999105
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,8,4,4,5,0,1,0,0,1,1,0,-23.62039999999732
EURUSD,SELL,CHOCH,LONDON_CLOSE,SL_HIT,15,4,4,5,0,1,0,0,1,1,0,-71.61380000000106
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,7,1,4,5,0,0,0,0,1,1,1,33.799999999999386
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,4,5,5,0,1,0,0,1,1,1,24.500000000000632
EURUSD,SELL,CHOCH,LONDON_CLOSE,SL_HIT,16,4,5,5,0,1,0,0,1,1,0,-58.51559999999978
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,7,2,1,6,0,0,0,0,1,1,1,6.579999999999586
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,8,2,1,6,0,0,0,0,1,1,0,-45.58480000000032
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,3,1,6,0,0,0,0,1,1,0,-43.66800000000115
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,4,1,6,0,1,0,0,1,1,1,22.599999999999287
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,0,2,6,1,0,0,0,1,1,1,30.49999999999997
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,1,2,6,0,0,0,0,1,1,1,52.499999999999766
EURUSD,BUY,CHOCH,NY_OPEN,SL_HIT,13,3,2,6,0,0,0,0,1,1,0,-98.90919999999912
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,17,2,3,6,0,0,0,0,1,1,0,-37.8999999999996
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,4,6,0,0,0,0,1,1,1,27.999999999999137
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,9,4,4,6,0,1,0,0,1,1,0,-44.11720000000008
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,2,1,7,0,0,0,0,1,1,1,11.799999999999589
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,7,3,1,7,0,0,0,0,1,1,0,-4.39999999999996
