time,open,high,low,close,tick_volume
2025-08-01 00:00:00,198.99,199.062,198.84,198.844,668
2025-08-01 01:00:00,198.911,199.099,198.881,199.057,2358
2025-08-01 02:00:00,199.054,199.186,198.969,199.167,3922
2025-08-01 03:00:00,199.166,199.227,198.904,199.11,7733
2025-08-01 04:00:00,199.115,199.289,198.974,199.114,7956
2025-08-01 05:00:00,199.115,199.131,198.83,198.921,6224
2025-08-01 06:00:00,198.922,198.942,198.762,198.773,4432
2025-08-01 07:00:00,198.773,198.798,198.709,198.769,5232
2025-08-01 08:00:00,198.766,198.808,198.605,198.651,5882
2025-08-01 09:00:00,198.65,198.966,198.601,198.855,6071
2025-08-01 10:00:00,198.854,198.868,198.514,198.616,8063
2025-08-01 11:00:00,198.609,198.625,198.196,198.2,6288
2025-08-01 12:00:00,198.2,198.226,197.765,197.871,6361
2025-08-01 13:00:00,197.864,198.042,197.813,197.962,6018
2025-08-01 14:00:00,197.963,198.049,197.901,198.04,5998
2025-08-01 15:00:00,198.041,198.195,197.439,197.439,12967
2025-08-01 16:00:00,197.426,197.445,196.438,196.536,15370
2025-08-01 17:00:00,196.387,196.748,195.99,196.403,15632
2025-08-01 18:00:00,196.411,196.486,196.139,196.279,11173
2025-08-01 19:00:00,196.279,196.348,195.77,195.783,7323
2025-08-01 20:00:00,195.782,195.849,195.319,195.609,7274
2025-08-01 21:00:00,195.605,195.724,195.433,195.534,6452
2025-08-01 22:00:00,195.537,195.644,195.405,195.505,7265
2025-08-01 23:00:00,195.504,195.807,195.458,195.662,5068
2025-08-04 00:00:00,195.505,195.556,195.346,195.387,855
2025-08-04 01:00:00,195.398,195.577,195.281,195.5,3742
2025-08-04 02:00:00,195.507,195.839,195.471,195.825,4710
2025-08-04 03:00:00,195.826,195.865,195.624,195.797,8533
2025-08-04 04:00:00,195.796,196.194,195.781,196.166,9040
2025-08-04 05:00:00,196.163,196.34,196.019,196.272,5691
2025-08-04 06:00:00,196.271,196.271,196.069,196.165,4204
2025-08-04 07:00:00,196.164,196.171,196.035,196.084,3627
2025-08-04 08:00:00,196.084,196.27,196.07,196.177,4745
2025-08-04 09:00:00,196.176,196.276,195.985,196.121,6596
2025-08-04 10:00:00,196.124,196.447,196.039,196.328,7939
2025-08-04 11:00:00,196.327,196.517,196.282,196.354,7271
2025-08-04 12:00:00,196.354,196.512,196.326,196.462,6242
2025-08-04 13:00:00,196.458,196.485,196.14,196.217,5308
2025-08-04 14:00:00,196.213,196.339,195.872,195.874,6605
2025-08-04 15:00:00,195.874,195.931,195.636,195.715,7984
2025-08-04 16:00:00,195.716,195.939,195.556,195.624,9510
2025-08-04 17:00:00,195.629,196.085,195.554,195.703,9770
2025-08-04 18:00:00,195.702,195.877,195.438,195.441,7401
2025-08-04 19:00:00,195.438,195.518,195.318,195.328,5041
2025-08-04 20:00:00,195.328,195.348,195.171,195.178,4618
2025-08-04 21:00:00,195.18,195.225,195.016,195.065,5059
2025-08-04 22:00:00,195.066,195.186,195.061,195.185,4235
2025-08-04 23:00:00,195.183,195.429,195.183,195.344,3557
2025-08-05 00:00:00,195.405,195.427,195.159,195.273,1284
2025-08-05 01:00:00,195.277,195.363,195.185,195.266,2146
2025-08-05 02:00:00,195.266,195.305,195.055,195.187,3113
2025-08-05 03:00:00,195.185,195.435,195.02,195.382,6933
2025-08-05 04:00:00,195.382,195.511,195.281,195.407,6466
2025-08-05 05:00:00,195.407,195.525,195.362,195.51,5393
2025-08-05 06:00:00,195.51,195.541,195.401,195.447,4918
2025-08-05 07:00:00,195.456,195.491,195.305,195.397,4223
2025-08-05 08:00:00,195.4,195.443,195.268,195.353,4777
2025-08-05 09:00:00,195.352,195.64,195.248,195.62,5470
2025-08-05 10:00:00,195.62,195.778,195.512,195.607,6804
2025-08-05 11:00:00,195.608,195.974,195.5,195.972,7210
2025-08-05 12:00:00,195.974,196.217,195.907,196.213,5489
2025-08-05 13:00:00,196.21,196.346,196.097,196.113,5147
2025-08-05 14:00:00,196.113,196.139,195.889,196.049,4899
2025-08-05 15:00:00,196.049,196.198,195.901,196.108,8042
2025-08-05 16:00:00,196.107,196.256,195.978,196.063,8366
2025-08-05 17:00:00,196.153,196.153,195.689,195.944,11916
2025-08-05 18:00:00,195.941,196.282,195.905,196.262,8449
2025-08-05 19:00:00,196.262,196.4,196.24,196.362,6259
2025-08-05 20:00:00,196.364,196.444,196.322,196.387,5318
2025-08-05 21:00:00,196.388,196.418,196.212,196.23,5640
2025-08-05 22:00:00,196.231,196.303,196.209,196.248,3702
2025-08-05 23:00:00,196.248,196.262,196.14,196.245,3277
2025-08-06 00:00:00,196.193,196.193,195.995,196.145,883
2025-08-06 01:00:00,196.145,196.25,196.124,196.201,2751
2025-08-06 02:00:00,196.201,196.327,196.169,196.169,2625
2025-08-06 03:00:00,196.169,196.34,196.151,196.281,5750
2025-08-06 04:00:00,196.28,196.422,196.27,196.389,4836
2025-08-06 05:00:00,196.388,196.46,196.24,196.24,5019
2025-08-06 06:00:00,196.24,196.255,196.082,196.163,4697
2025-08-06 07:00:00,196.163,196.215,196.088,196.125,3819
2025-08-06 08:00:00,196.125,196.278,196.109,196.176,3376
2025-08-06 09:00:00,196.169,196.294,196.083,196.251,5357
2025-08-06 10:00:00,196.25,196.329,196.19,196.289,6222
2025-08-06 11:00:00,196.288,196.385,196.199,196.332,6307
2025-08-06 12:00:00,196.331,196.59,196.329,196.562,5326
2025-08-06 13:00:00,196.562,196.636,196.483,196.522,6564
2025-08-06 14:00:00,196.518,196.631,196.362,196.473,5195
2025-08-06 15:00:00,196.474,196.482,196.317,196.337,6427
2025-08-06 16:00:00,196.337,196.399,196.163,196.201,7834
2025-08-06 17:00:00,196.203,196.502,196.15,196.461,8435
2025-08-06 18:00:00,196.463,196.883,196.422,196.696,7540
2025-08-06 19:00:00,196.694,196.806,196.632,196.651,6659
2025-08-06 20:00:00,196.65,196.851,196.615,196.631,5940
2025-08-06 21:00:00,196.63,196.695,196.435,196.513,3932
2025-08-06 22:00:00,196.511,196.603,196.507,196.575,4306
2025-08-06 23:00:00,196.576,197.069,196.564,196.777,4426
2025-08-07 00:00:00,196.657,196.865,196.604,196.667,597
2025-08-07 01:00:00,196.666,196.793,196.618,196.634,3034
2025-08-07 02:00:00,196.635,196.689,196.555,196.607,2532
2025-08-07 03:00:00,196.603,197.002,196.575,196.98,5644
2025-08-07 04:00:00,196.981,197.123,196.908,196.962,5776
2025-08-07 05:00:00,196.958,197.057,196.877,197.018,3873
2025-08-07 06:00:00,197.019,197.174,196.967,197.059,5074
2025-08-07 07:00:00,197.059,197.08,196.845,196.907,5287
