time,open,high,low,close,tick_volume
2025-12-01 00:00:00,206.301,206.404,206.283,206.399,412
2025-12-01 00:05:00,206.412,206.433,206.316,206.433,120
2025-12-01 00:10:00,206.431,206.437,206.422,206.427,17
2025-12-01 00:15:00,206.431,206.496,206.346,206.429,272
2025-12-01 00:20:00,206.376,206.52,206.315,206.489,311
2025-12-01 00:25:00,206.492,206.504,206.478,206.501,88
2025-12-01 00:30:00,206.495,206.525,206.419,206.461,253
2025-12-01 00:35:00,206.462,206.495,206.437,206.484,234
2025-12-01 00:40:00,206.485,206.499,206.452,206.463,226
2025-12-01 00:45:00,206.463,206.479,206.463,206.475,119
2025-12-01 00:50:00,206.468,206.481,206.454,206.456,62
2025-12-01 00:55:00,206.456,206.523,206.438,206.519,300
2025-12-01 01:00:00,206.452,206.585,206.43,206.51,331
2025-12-01 01:05:00,206.511,206.598,206.497,206.591,194
2025-12-01 01:10:00,206.591,206.737,206.581,206.719,469
2025-12-01 01:15:00,206.72,206.741,206.678,206.72,360
2025-12-01 01:20:00,206.72,206.723,206.575,206.585,459
2025-12-01 01:25:00,206.585,206.594,206.518,206.526,494
2025-12-01 01:30:00,206.526,206.625,206.512,206.608,665
2025-12-01 01:35:00,206.608,206.655,206.589,206.617,284
2025-12-01 01:40:00,206.617,206.618,206.58,206.588,474
2025-12-01 01:45:00,206.589,206.601,206.495,206.499,567
2025-12-01 01:50:00,206.505,206.505,206.359,206.369,554
2025-12-01 01:55:00,206.369,206.428,206.368,206.396,558
2025-12-01 02:00:00,206.397,206.413,206.253,206.325,914
2025-12-01 02:05:00,206.324,206.376,206.292,206.345,762
2025-12-01 02:10:00,206.348,206.379,206.303,206.366,635
2025-12-01 02:15:00,206.368,206.378,206.233,206.266,782
2025-12-01 02:20:00,206.263,206.274,206.195,206.198,581
2025-12-01 02:25:00,206.196,206.214,206.169,206.173,584
2025-12-01 02:30:00,206.173,206.24,206.148,206.172,703
2025-12-01 02:35:00,206.171,206.199,206.143,206.166,589
2025-12-01 02:40:00,206.167,206.195,206.148,206.189,678
