symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.36796,1.36740,1.36055,0.950,2026-02-10 15:05,2026-02-10 15:30,1.36740,TRAILED_SL,9.04,1.60,LONDON_CLOSE,BUY,True,,True,0,True,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.36812,1.36740,1.35902,0.950,2026-02-10 16:35,2026-02-10 17:45,1.36694,GIVEBACK_GUARD,13.42,1.85,LONDON_CLOSE,BUY,True,,True,0,True,3.32
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,153.02200,153.53700,150.02339,0.950,2026-02-11 15:35,2026-02-11 17:35,153.53700,SL_HIT,-51.50,-0.34,LONDON_CLOSE,SELL,True,,False,1,False,0.00
AUDUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,0.71143,0.71246,0.71656,0.850,2026-02-11 15:45,2026-02-11 16:20,0.71246,TRAILED_SL,16.40,1.60,LONDON_CLOSE,BUY,True,,True,0,True,0.00
AUDUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,0.70527,0.70628,0.71030,0.850,2026-02-20 15:45,2026-02-20 17:05,0.70628,TRAILED_SL,16.11,1.60,LONDON_CLOSE,NEUTRAL,True,,True,0,True,0.00
