symbol,setup_type,direction,kill_zone,entry_time,exit_time,pnl_pips,exit_reason
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-11-08 16:15:00+00:00,2024-11-11 13:30:00+00:00,107.98560000000012,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-13 13:30:00+00:00,2024-11-13 15:30:00+00:00,-37.857800000000715,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2024-11-13 15:30:00+00:00,2024-11-13 17:05:00+00:00,66.10620000000011,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-15 15:30:00+00:00,2024-11-18 21:00:00+00:00,-37.857800000000715,SL_HIT
EURUSD,CHOCH,SELL,LONDON_OPEN,2024-11-19 06:45:00+00:00,2024-11-19 11:20:00+00:00,61.181999999999626,TP_HIT
EURUSD,CHOCH,BUY,LONDON_CLOSE,2024-11-21 16:45:00+00:00,2024-11-21 18:15:00+00:00,-41.72659999999828,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2024-11-22 17:00:00+00:00,2024-11-25 00:00:00+00:00,32.399999999999096,TP_HIT
EURUSD,CHOCH,SELL,NY_OPEN,2024-11-25 14:15:00+00:00,2024-11-25 15:25:00+00:00,-42.392399999999775,SL_HIT
EURUSD,CHOCH,BUY,LONDON_OPEN,2024-11-26 06:45:00+00:00,2024-12-18 21:35:00+00:00,-75.44800000000018,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_OPEN,2024-12-20 08:00:00+00:00,2024-12-20 09:10:00+00:00,-30.068899999999843,SL_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-24 13:30:00+00:00,2024-12-30 14:05:00+00:00,57.552000000002934,TP_HIT
EURUSD,CHOCH,BUY,NY_OPEN,2024-12-30 14:45:00+00:00,2024-12-30 15:55:00+00:00,-61.0166000000012,SL_HIT
EURUSD,CHOCH,SELL,LONDON_CLOSE,2024-12-30 16:45:00+00:00,2025-01-02 18:00:00+00:00,148.22999999999809,TP_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,LONDON_CLOSE,2025-01-03 17:00:00+00:00,2025-01-06 04:10:00+00:00,-27.00479999999894,SL_HIT
EURUSD,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2025-01-06 15:30:00+00:00,2025-01-06 16:15:00+00:00,33.199999999999896,TP_HIT
EURUSD,CHOCH,SELL,LONDON_CLOSE,2025-01-06 17:00:00+00:00,2025-01-10 15:30:00+00:00,143.7431999999994,TP_HIT
